Promote v2 -> legacy started 2026-06-07 15:29:28.451031
v2 source: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice\v2\eve-donovan-2026-06-04
legacy: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice
PROMOTED toa_447
PROMOTED toa_449
PROMOTED toa_450
PROMOTED toa_452
PROMOTED toa_454
PROMOTED toa_455
PROMOTED toa_460
PROMOTED toa_462
PROMOTED toa_463
PROMOTED toa_464
PROMOTED toa_466
PROMOTED toa_467
PROMOTED toa_468
PROMOTED toa_469
PROMOTED toa_470
PROMOTED toa_471
PROMOTED toa_472
PROMOTED toa_473
PROMOTED toa_474
PROMOTED toa_475
PROMOTED toa_476
PROMOTED toa_477
PROMOTED toa_478
PROMOTED toa_479
PROMOTED toa_480
PROMOTED toa_481
PROMOTED toa_482
PROMOTED toa_483
PROMOTED toa_484
PROMOTED toa_485
PROMOTED toa_486
PROMOTED toa_487
PROMOTED toa_488
PROMOTED toa_489
PROMOTED toa_490
PROMOTED toa_491
PROMOTED toa_492
PROMOTED toa_493
PROMOTED toa_494
PROMOTED toa_495
PROMOTED toa_496
PROMOTED toa_497
PROMOTED toa_498
PROMOTED toa_499
PROMOTED toa_500
PROMOTED toa_501
PROMOTED toa_502
PROMOTED toa_503
PROMOTED toa_504
PROMOTED toa_505
PROMOTED toa_506
PROMOTED toa_507
PROMOTED toa_508
PROMOTED toa_509
PROMOTED toa_510
PROMOTED toa_511
PROMOTED toa_512
PROMOTED toa_513
PROMOTED toa_514
PROMOTED toa_515
PROMOTED toa_516
PROMOTED toa_517
PROMOTED toa_518
PROMOTED toa_519
PROMOTED toa_520
PROMOTED toa_521
PROMOTED toa_522
PROMOTED toa_523
PROMOTED toa_524
PROMOTED toa_525
PROMOTED toa_526
PROMOTED toa_527
Promoted count: 384
Skipped (no v2): 0
Errors: 0
